method,k2_accuracy,k64_accuracy,phi64_mae_rad,phi64_rmse_rad,catastrophic_order_rate
traditional_unresolved,0.8177177372685185,0.8039359085648149,37.01649455148092,85.22299137974505,0.18465711805555554
pchip_completion,0.9472837094907407,0.9305649594907407,11.044458378179806,34.5475873274292,0.05557870370370369
network_k2,0.9920999710648147,0.9728067129629631,2.225365574413436,17.37058539005408,0.01177589699074074
network_full,0.9920999710648147,0.6059989872685185,5.9946456975036915,23.49260974925285,0.06001012731481481
oracle_k2,1.0,0.9798017939814814,0.7937607423350473,11.456073415902198,0.004649160879629629
